Product Name,New Target
Yellow Submarine,333
Metamorphosis,297
Experimenter,364
Foot Soak and Fancy Free,520
New Think Pink,572
Cheer up Buttercup,728
Intergalactic,624
Over and Over (INC INSERTS),532
Twilight (INC INSERTS),624
Dragon Egg (INC INSERTS),676
Lava Lamp,788
Sex Bomb,988
Tisty Tosty,1,103
Big Blue,1,040
Sakura,1,144
Avobath,1,404
Rocket,312
Ickle Robot,2,184
Butterball,2,080
Goddess,468
Crystal Ball,62
Karma SPA,312
Dream Steam,"2,600"
Big Blue Spa,"1,560"
Volcano Spa,343
Toner Tab,"4,160"
Intergalatic Spa,655
Secret Arts,398
The Big Sleep,373
Turtle Immersion Jelly Bomb,212
Turtle Jelly Bomb,312
Lotus Flower PETAL INSERTS,6,522
Lotus Flower (INC YELLOW INSERT),244
Guardian of the Forest (INC INSERTS),312
Ylang Song Bombshell,319
Cyanide,431
Golden Slumbers * New*,1,278
Under The Umbrela Tree,266
Little Bottle of Calm,624
Sleepy,1,456
Koyaanisqatsi,1,065
Not Sleepy,1,456
Karma Shower Bomb,1,384
Butterbear,2,130
Golden Wonder,587
Golden Wonder Boxes,4,160
Golden Wonder Boxes Alcohol Free,4,160
Golden Wonder Dots - Orange,26,000
Golden Wonder Dots - Yellow,26,000
Golden Wonder Dots - Pink,26,000
Golden Wonder Alcohol Free,587
Lush Pud,426
Lush Pud Dots,"26,000"
Lush Pud Dots - Orange,"26,000"
Lush Pud Dots - Green,"26,000"
Lush Pud Dots - Yellow,"26,000"
Lush Pud Dots - Blue,"26,000"
Cherry Christmas,390
Snow Fairy,426
Holey Night,383
Shoot For the Stars,624
The Worlds Smallest Disco *OLD*,426
The Worlds Smallest Disco (DOTS) Pink,"26,000"
The Worlds Smallest Disco (DOTS) Orange,"26,000"
The Worlds Smallest Disco (DOTS) Green,"26,000"
The Worlds Smallest Disco (DOTS) Blue,"26,000"
The Worlds Smallest Disco (DOTS) Yellow,"26,000"
The Worlds Smallest Disco - Alcohol Free,426
The Worlds Smallest Disco Alcohol Free (DOTS) Pink,"26,000"
The Worlds Smallest Disco Alcohol Free (DOTS) Orange,"26,000"
The Worlds Smallest Disco Alcohol Free (DOTS) Green,"26,000"
The Worlds Smallest Disco Alcohol Free (DOTS) Blue,"26,000"
The Worlds Smallest Disco Alcohol Free (DOTS) Yellow,"26,000"
Santa Gift Top,186
Santa Gift Bottom,266
Princess Gift Top,186
Princess Gift Bottom,639
Perle De Sel,608
LOM With Insert,652
Monster Ball With Insert,466
Ectoplasm,362
Eyeball,426
Giant Rose Bomb Shell,95
Rose Bomb Shell,274
Superdad,312
Which Came First Sun,174
Which Came First Spot,174
What Came First INSERTS,"1,090"
Golden Egg Insert,"1,635"
New Tisty Tosty,437
Mum look what I made for you,218
April Showers,218
Dashing Santa,283
Calavera 17,416
Bombardino,468
So White,368
Jingle Spell,"1,051"
Starlight Starbright,341
May Day,873
Sky Dance / Hen Harrier,220
Bug Splash,277
Trident Sub,233
Agbogbloshie,186
Fox,326
Cutting Moulds,"1,783"
Birth of a Star,81
Think Pink OLD,"1,200"
Tiger Tiger Burning Sun,140
Mermaid,326
Roller,477
FIZZBANGER (INC INSERTS),524
All You Need Is Love,140
YOGA BOM,536
FROZEN (INC INSERTS),564
HONEY BEE,859
BLACKBERRY,"1,432"
Turtle Momma,186
Turtle Baby,192
santa gift,186
Golden Slumbers Spa,"1,456"
Rainbow,167
Christmas Sweater,286
Giant Golden Wonder (With all Inserts),66
Nevermind Ballistics With Insert,669
Sherbert Lemon,536
Thundersnow,310
Pumpkin With Insert,477
Snow Fairy,319
Ectoplasm,309
R & B,437
Green Coconut,239
Marmalade,213
Fresh Flower Giant Bombshell TOP,624
Fresh Flower Giant Bombshell BOTTOM,624
Herbal Green Tea Giant Bombshell TOP,624
Herbal Green Tea Giant Bombshell BOTTOM,624
Milky Floral Bombshell TOP,624
Milky Floral Bombshell BOTTOM,624
Take out Dots,746
Dots Quality Control,22
Volcano Fun Star,"2,130"
Volcano Fun Red Dot,"2,130"
Volcano Fun Orange Dot,"2,130"
Play Doze,0
Tea Bag,364
Fresh Flower Giant Bombshell TOP/BOTTOM,157
Love Boat '18,437
Peachy,416
Aubergine,416
Butterfly (Orange/Yellow),364
Rose Butterfly 2020,416
Butterfly (Green/Yellow),364
Jasmine Flower,468
Marigold Flower,468
Chamomile Flower,468
Iris Flower,468
More Tea & Sympathy Tea Pot,208
Floating Flower,832
Strawberry Hill Shower Bomb,"1,248"
Madame President,312
Incredible Mum,277
Bunny Bomb Bomb Top,250
Bunny Bomb Bomb Bottom,250
Rose Bombshell Egg Top,312
Rose Bombshell Egg Bottom,312
Brontosaurus Fun Egg Purple Spot Top,312
Brontosaurus Fun Egg Blue Botom,312
Stegosaurus Fun Egg Blue Sun Top,312
Stegosaurus Fun Egg Purple Bottom,312
Chick Fun Egg Orange Sun Top,312
Chick Fun Egg Yellow Bottom,312
Bunny Fun Egg Yellow Spot Top,312
Bunny Fun Egg Orange Bottom,312
Lamb Bomb Bomb TOP,250
Lamb Bomb Bomb BOTTOM,250
Free Rangers TOP,270
Free Rangers BOTTOM,624
Beak Street Shower Bomb,"1,248"
BATH SALT CUBE ROSE CLAY,624
BATH SALT CUBE BLUE GARDENIA,624
CHOCCOMINT,"1,040"
GROOVY KIND OF LOVE,468
GEODE,468
BLACK ROSE,676
LUCKY CAT (PINK),676
DEEP SLEEP MUSLIN,"1,248"
FLOWER POWER,"1,040"
MARSHMALLOW WORLD,520
BLACKBERRY'18,"1,144"
MELUSINE,520
HARAJUKU,416
GINGER NINJA,676
ROYALTY,260
KITSUNE,312
STRAWBERRIES & CREAM,884
CALAVERA,416
GOLDEN PEAR TOP,"2,080"
GOLDEN PEAR BOTTOM,"2,080"
THE COMFORTER,374
Honey I Washed The Kids,728
TENDER IS THE NIGHT,416
YUZU & COCOA,"1,352"
PIRATES OF THE CARRAGENAN,260
YOUKI HI,519
So White '18,"1,352"
SUSHI,364
GEO PHYZZ,"1,040"
YOG NOG,520
SAFFLOWER BATH SALT CUBE,780
HI HO SILVER,728
GOLDRUSH,780
HULDER,520
MOON SPELL TOP,832
MOON SPELL BOTTOM,832
PENG,416
TURMERIC LATTE,416
SPLASH,364
KARMA YANTRA HARAJUKU,312
KAPPA,260
THE OLIVE BRANCH,624
BLUE SKIES & FLUFFY WHITE CLOUDS,364
NE WORRY PAS HARAJUKU,"1,040"
YOKOZUNA,208
FIGARO FIGARO,312
MAGIC HARAJUKU,572
SHIJIMI BUTTERFLY,312
LEVANDER GIANT BOMBSHELL TOP,624
LEVANDER GIANT BOMBSHELL BOTTOM,624
SEAWEED GIANT BOMBSHELL TOP,624
SEAWEED GIANT BOMBSHELL BOTTOM,624
FAIRY JASMINE HARAJUKU,"1,664"
TEA AND SYMPATHY HARAJUKU,312
BOM PERIGNON HARAJUKU,"1,040"
TADAIMA OKAERI,416
STAR SPELL TOP,832
STAR SPELL BOTTOM,832
FRUITY GIANT BOMBSHELL TOP,624
FRUITY GIANT BOMBSHELL BOTTOM,624
SEA SALT GIANT BOMBSHELL TOP,624
SEA SALT GIANT BOMBSHELL BOTTOM,624
FAIRY TRUMPETS,468
MAGMA,156
SIEVE,312
Dear John,520
Crazy train,156
Free rangers,198
Party Kits-Ickle Bot,62
Party Kit - Big Blue,42
Party Kit - Big Blue sa,42
Party Kit - Butterball,62
Party Kit - Butterball sa,62
Party Kit - Sex Bomb,62
Party Kit - Pink Bomb,62
Party Kit-Golden Slumber,62
Party Kit- LordofMisrule,42
MOON SPELL PINK,832
MOON SPELL BLUE,832
Party Kit - Geode 50,31
Party Kit - Hulder 50,31
Kit -Groovy Kind of Love 50,29
PARTY KITS PIRATES 50 ITEMS,36
Party Kit - Geode 10,42
Party Kit - Hulder 10,42
PARTY KIT i WANT A HIPPOPOTAMUS'21,42
PARTY KIT SHOOT FOR THE STARS'21,31
PARTY KIT RANGOLI'21,36
Party Kit -Groovy Kind of Love 10,40
Party kit - Blackberry 10,62
Party kit - Blackberry 50,47
PARTY KITS PIRATES 10 ITEMS,56
Party Kit- ShootForStars - 25,31
Party Kits - Rocket (25),29
Party Kits- Goddess,42
Party Kits- Inrtergalactic,42
Blue Pill Shower Bomb,"1,768"
Red Pill Shower Bomb,"1,768"
Comfort Zone Shower Bomb,"1,352"
Wake Up Call Shower Bomb,"1,560"
Luck Shower Bomb,"1,872"
Love Shower Bomb,"1,352"
Meditation Shower Bomb,"1,248"
Validation Shower Bomb,"1,352"
Supernatural Shower Bomb,"1,040"
Tantric EnergyShowerBomb,"1,248"
Bunny Bomb Bomb,0
Lamb Bomb Bomb,0
LAVANDER GIANT BOMBSHELL,0
SEAWEED GIANT BOMBSHELL,0
FRUITY GIANT BOMBSHELL,312
SEA SALT GIANT BOMBSHELL,312
Rose Bombshell Egg,312
MOON SPELL,416
STAR SPELL,416
Witches fun Green,"2,130"
Withces Fun Pink,"2,130"
Withces Fun Yellow,"2,130"
Time Traveller Blue,"2,130"
Time Traveller Pink,"2,130"
Time Traveller Purple,"2,130"
Cilla the Caterpillar,83
Calm A Llama,125
Cilla the Caterpillar top,166
Cilla the Caterpillar bottom,166
Golden Wonder,499
"Golden Wonder AF
*MENA*",499
Luxury Lush Pud,426
The Worlds Smallest Disco,426
Jingle Bells - Amazeball,260
Snow Fairy 2019,312
Fly me to the Moon  -Amazeball,312
Snow Fairy Crystal Ball,312
Dont Let the Bells End,312
Holly GOHlightly - Amazeball,312
Pop Art,338
Chris The Camel,364
Rudolph - with Tag '19,416
Santa's Grotto,364
Fireball,416
Snowman Dreaming,416
Not So Secret Santa '19,364
Penguin Bomb Bomb,177
Santa Bomb Bomb,177
Elf Bomb Bomb,177
Giant Lush Pud TOP/BOTTOM,94
Giant Lush Pud top,187
Giant Lush Pud BOTTOM,187
Rudolph Nose - shower bomb,"1,040"
Polar Bear Nose - shower bomb,"1,248"
Snowman Nose - shower bomb,"1,040"
Punkin Pumpkin,291
Monsters Ball,458
Lord Of Misrule,652
"Patchouli Popper
*MENA Lord Of Misrule*",652
Mercury Retrograde,416
Snow Fairy Green,"2,130"
Snow Fairy Pink,"2,130"
Snow Fairy Yellow,"2,130"
Magic Lamp Blue,"2,130"
Magic Lamp Gold,"2,130"
Magic Lamp Purple,"2,130"
Fly me to the Moon  - UFO,"1,248"
Penguin Bomb Bomb Top,354
Penguin Bomb Bomb Bottom,354
Santa Bomb Bomb Top,354
Santa Bomb Bomb Bottom,354
Elf Bomb Bomb Top,354
Elf Bomb Bomb Bottom,354
Dont Let the Bells End - BELL,520
Holly GOHlightly - HOLLY,520
Party Kit - Lush Pud(10),42
Party Kit - Monster Ball,42
Party Kit - Fireball(10),52
Party Kit - Santa Grotto,42
Party Kit - Pop Art(10),52
Space Girl,"1,040"
Abombinaball,260
Roller '19,364
Madame President '20,312
Madame President '20 gold starts inserts,"4,160"
Dirty Bath Bomb,468
Blazin' Bad Zula '20,364
Love Locket '20,208
Love Locket '20  inserts,"20,800"
Love Locket '20  plug,"1,040"
Dinosaur Bombshell '20 Yellow Sun,582
Dinosaur Bombshell '20 Blue spot,582
Magic Rabbit,291
Love Locket '20 green inserts,"20,800"
Love Locket '20 yellow inserts,"20,800"
Love Locket '20 orange inserts,"20,800"
Love Locket '20 blue inserts,"20,800"
Flight,364
Roar,780
Tengri,312
Black Ninja,728
Temple Of the Sky,229
Rose Clay,624
LOVE BOAT PARTY KITS,31
IRL,364
Moon on the Stick,260
Bat Art '20,624
Bat Dots Pink,"15,600"
Bat Dots Blue,"15,600"
Bat Dots Silver,"15,600"
Lord of Misrule '20,652
Monsters Ball '20,458
Punkin Pumpkin '20,291
Butterbear '20,"1,872"
I Want A Hippo '20,"1,144"
Angels Delight '20,884
Snowman Dreaming,416
Tick-Tock '20,936
Winter Garden '20,"1,248"
Jingle Bells '20,468
Luxury Lush Pud '20,426
LLP Blue Dot '20,"13,520"
LLP Green Dot '20,"13,520"
LLP Green Holly '20,"26,000"
LLP Orange Dot '20,"13,520"
Shoot For Stars '20,728
Snow Fairy BALL '20,416
Golden WonderBlue1/2Box,"4,160"
Golden Wonder OrangeDot,"26,000"
Golden Wonder PinkDot,"26,000"
Golden Wonder YellowDot,"26,000"
Holly Golightly '20,364
Holly Golightly Amazeball plug,884
Snow Fairy Crystal - Amazeball '20,364
Snow Fairy Crystal Amazeball plug,"1,300"
Rudolph NoseShBomb20,"2,600"
Sugar Plum ShBomb '20,"1,352"
Validation (GIFT EXCLUSIVE),"1,352"
Shoot For The Stars MINI GCO,"1,248"
Intergalactic MINI GCO,"1,768"
Avobath MINI GCO,"1,768"
Butterball MINI GCO,"2,080"
Groovy Kind Of Love MINI GCO,"1,768"
Snow Fairy MINI GCO,"1,768"
Skullduggery,572
SATSUMO SANTA,312
Sleepy Bombshell Top,416
Sleepy Bombshell Bottom,624
Sleepy Giant bombshell  top+bottom,250
Hokkaido,"1,248"
Party Kit-I Want A Hippo,42
PartyKit-ShootForStars20,42
SinterKlaas,260
Cheery Christmas '20,338
,0
LOVE LOCKET'21,229
LOVE LOCKET GREEN INSERT'21,"26,000"
LOVE LOCKET YELLOW INSERT'21,"26,000"
LOVE LOCKET ORANGE INSERT'21,"26,000"
LOVE LOCKET BLUE INSERT'21,"26,000"
LOVE LOCKET PLUG'21,967
LOVE BOAT'21,364
LOVE ME DO'21,"1,352"
HEART BEAT'21,380
TISTY TOSTY'21,749
Flamingo Egg - large,468
Eggy Wegg,416
Golden egg insert,"1,352"
Follow The White Rabbit,416
Humpty Dumpty,208
Humpty Dumpty INSERTS,"1,248"
Owl And The Pussycat,312
Eggy Wegg Insert,"2,184"
Pussycat,"1,768"
Mother of Pearl,"1,560"
Atom Heart Mother,468
Rose Gold - for AYR new fragrance,572
Atom Heart Mother INSERT,"8,320"
04:20PM Bath bomb,468
MrS Whippy,468
Frog Prince,624
Owl And The Pussycat - boat,416
Owl And The Pussycat - cat,"1,768"
Owl And The Pussycat - owl,"1,560"
Marshmallow World '21 - New flat base,520
Floating Flower '21 - New flat base,832
Deep Sleep '21 - New flat base,"1,248"
TWILIGHT'21 V2,624
Sex Bomb '21 - New Flat base,988
Sakura '21 - New Flat base,"1,144"
Intergalactic '21 - New flat base,624
Ickle Baby Bot '21- New moulds,"1,456"
Goddess '21 - New Flat base,468
Dragon's Egg '21 - New Flat base,676
Butterball '21 - New Flat base,"2,080"
Big Blue '21 - New Flat base,"1,040"
Avobath '21 - New Flat base,"1,404"
Groovy kind of love'21-New flatbase,468
Peachy'21 - New flatbase,416
Temple of the sky'21-New flatbase,229
Melusine'21 - New flatbase,520
The Comforter'21 - New flatbase,374
Blackberry'21 - New flatbase,"1,144"
Turmeric Latte 21-New flatbase,416
TBH 365,291
WHITE NOISE,468
DIAMOND DUST,832
PEAU DE PARIS BOMBSHELL PINK TOP,624
PEAU DE PARIS BOMBSHELL PINK BOTTOM,624
PEAU DE PARIS BOMBSHELL BLUE TOP,624
PEAU DE PARIS BOMBSHELL BLUE BOTTOM,624
PEAU DE PARIS BOMBSHELL GREEN TOP,624
PEAU DE PARIS BOMBSHELL GREEN BOTTOM,624
PEAU DE PARIS BOMBSHELL YELLOW TOP,624
PEAU DE PARIS BOMBSHELL YELLOW BOTTOM,624
PEAU DE PARIS BOMBSHELL,312
Punkin Pumpkin'21,312
Bat art'21,624
Ghostie'21,406
Lord of misrule'21,276
I want a hippopotamumus'21,"1,144"
Butterbear'21(pink),"1,196"
Sleepy Bear bath bomb'21,"1,040"
Snowman dreaming'21,374
Snowball bath bomb'21,489
You shall go to the ball'21,421
Orange Pop bath bomb'21,624
Snow Fairy'21,416
Shoot for the star'21,728
Jingle bells'21,416
Hey Hollywood '21,437
Golden pudding '21,421
Rudolph nose'21,"2,600"
Silver Bells shower bomb'21,"1,456"
Snow Fairy Lights'21 plug,"1,217"
Snow Fairy Lights'21,468
Sleepy bath bomb'21,359
Cinders'21,"1,050"
Thundersnow'21,426
Santa's Magic Sleight'21 - Santa,728
Santa's Magic Sleight'21 - Bear,"3,120"
Santa's Magic Sleight'21 - Sleight,780
Santa's Magic Sleight'21  TOGETHER,283
Hot java,1,248
Pumpkin Pumpkin'21-MEXICO,"2,080"
Bat art'21-MEXICO,"2,600"
Ghostie'21-MEXICO,"1,560"
Lord of misrule'21-MEXICO,"2,600"
I want a hippopotamumus'21-MEXICO,"2,600"
Butterbear'21(pink)-MEXICO,"2,600"
Sleepy Bear bath bomb'21-MEXICO,0
Snowman dreaming'21-MEXICO,"2,080"
Snowball bath bomb'21-MEXICO,"3,640"
You shall go to the ball'21-MEXICO,"2,392"
Orange Pop bath bomb'21-MEXICO,"3,120"
Snow Fairy'21-MEXICO,"4,472"
