Product Name,Product / Color,System (G),System (Citric)
Avobath '21 - New Flat base,Avobath,155.25,51.75
Big Blue '21 - New Flat base,Big Blue - Blue,136.629,57.17
Big Blue '21 - New Flat base,Big Blue - White,13.78,6.89
Yog Nog '18,Yog Nog '18 - White Mix,96.88,32.29
Yog Nog '18,Yog Nog '18 - Yellow Mix,64.588,21.53
Big Blue '21 - New Flat base,Big Blue - Salt,13.78,0
,,,0
Butterball '21 - New Flat base,Butterball,80.136,27.86
Butterbear '20,Butterbear '20,78,26
,,,0
Cheer Up Buttercup,Cheer Up Pink,35.829091,11.94
Cheer Up Buttercup,Cheer Up Yellow,54.170909,18.06
Christmas Sweater,Christmas Sweater Orange,27.5,9.17
Christmas Sweater,Christmas Sweater Red,106,35.33
Christmas Sweater,Christmas Sweater White,3,1
Christmas Sweater,Christmas Sweater Yellow,27.5,9.17
Crystal Ball,Crystal Ball - Green,20,6.67
Crystal Ball,Crystal Ball - Orange,130,43.33
Crystal Ball,Crystal Ball - Purple,50,16.67
Crystal Ball,Crystal Ball - White Outer,424.6668182,130.67
Cyanide,Cyanide Pink,6.6,2.2
Cyanide,Cyanide Silver,8.2992,2.77
Cyanide,Cyanide White,43.1557,14.39
Cyanide,Cyanide Yellow,43.1557,14.39
Dear John,Dear John White Mix,105,35
Dear John,Dear John Blue Mix,78,26
Crystal Ball,Crystal Ball - Salt for White,373.336289,0
Dragon'S Egg '21 - New Flat Base,Dragons Egg White,112.861205,37.62
Dragon'S Egg '21 - New Flat Base,Dragons Egg Gold,12.429977,4.14
Dragon'S Egg '21 - New Flat Base,Dragons Egg Orange,42.708818,14.24
Dream Steam,Dream Steam,8.25,3.45
Coctail Sieve,Coctail sieve pink,112.5,37.5
,,,0
Experimenter,Exp Blue,37.95,12.65
Experimenter,Exp Gold,37.95,12.65
Experimenter,Exp Pink,37.95,12.65
Experimenter,Exp Purple,13.2,4.4
Experimenter,Exp White,37.95,12.65
,,,0
,,,0
Foot Soak And Fancy Free,Footsoak and Fancy Free,186.9751,38.03
crazy train,Crazy train red,49.41,16.47
crazy train,crazy train blue,124.18,41.39
Golden Slumbers Spa,Golden Slumbers Spa,81,27
Guardian Of The Forest (Inc Inserts),Guardian Dark Green,17.3768,5.79
Guardian Of The Forest (Inc Inserts),Guardian Pale Green,120.6915,40.23
Guardian Of The Forest (Inc Inserts),Guardian Yellow,15.6827,5.23
Giant Golden Wonder (With All Inserts),Giant GW Blue,282,94
Giant Golden Wonder (With All Inserts),Giant GW Gold,394,131.33
Giant Golden Wonder (With All Inserts),Giant GW orange,5.6,1.87
Giant Golden Wonder (With All Inserts),Giant GW Pink,11,3.67
Giant Golden Wonder (With All Inserts),Giant GW White,120,40
Giant Golden Wonder (With All Inserts),Giant GW Yellow,11,3.67
Golden Slumbers * New*,Golden Slumbers NEW,81,27
Golden Wonder,Golden Wonder Blue,25,8.33
Golden Wonder,Golden Wonder Gold,93,31
Golden Wonder,Golden Wonder Orange,1.3,0.43
Golden Wonder,Golden Wonder Pink,1.3,0.43
Golden Wonder,Golden Wonder White,22.5,7.5
Golden Wonder,Golden Wonder Yellow,1.3,0.43
Golden Wonder,Golden Wonder - Spray,5,0
,,,0
,,,0
Ickle Robot,Ickle Bot,78,26
Intergalactic '21 - New flat base,Intergalactic - Blue,128.682862,42.89
Intergalactic '21 - New flat base,Intergalactic - Red,17.340707,5.78
Intergalactic '21 - New flat base,Intergalactic - White,4.613938,1.54
Intergalactic '21 - New flat base,Intergalactic - Yellow,17.340707,5.78
Karma yantra,Karma Yantra Orange,121.49,40.5
Karma Yantra,Karma Yantra Yellow,3.43,1.14
,,,0
Tisty Tosty'21,Tisty Tosty,86.25,28.75
,,,0
Lotus Flower (Inc Yellow Insert),Lotus Purple,6.95,2.32
Lotus Flower (Inc Yellow Insert),Lotus White,64,21.33
Lotus Flower (Inc Yellow Insert),Lotus Yelow,9.01,3
,,,0
Golden Wonder Boxes Alcohol Free,Golden Wonder ALC FREE - Blue,25,8.33
Golden Wonder Alcohol Free,Golden Wonder ALC FREE - Gold,93,31
Golden Wonder Alcohol Free,Golden Wonder ALC FREE - White,22.5,7.5
,,,0
,,,0
,,,0
Floating Flower '21 - New flat base,Floating Flower,152.25,50.75
Floating Flower,Floating Flower Melt,7.08753,0
Intergalatic Spa,Intergalactic Spa Blue,62.01,20.67
Intergalatic Spa,Intergalactic Spa Red,8.745,2.92
Intergalatic Spa,Intergalactic Spa Yellow,8.745,2.92
,,,0
Monsters Ball '20,Monsters' Ball '20 - Blue,49,16.33
Monsters Ball '20,Monsters' Ball '20 - Pink,126.75,42.25
,,,0
,,,0
